AadK
Aag,yxlJ
AapA
AbbA,ykzF
Abf2,xsa
AbfA
Abh,ylxT,yzaA
Abn2,yxiA
AbnA
AbrB,cpsX,tolB
AccA
AccB,fabE,yqhW
AccC,yqhX
AccD,yttI
AcdA
AckA
AcoA,yfjK
AcoB,yfjJ
AcoC,yfjI
AcoL,yfjH
AcoR,yfjG,yzcB
AcpA,acpP
AcpK
AcpS,ydcB
AcsA
AcuA
AcuB
AcuC
AdaA
AdaB
AddA,recE5
AddB
AdeC,ade,yzaD
AdhA
AdhB
AdhR,yraB
Adk
AhpC,perR
AhpF,ndh
AhrC,argR
AlaR,yugG
AlaS
AlaT,yugH
AlbA,ywiA
AlbB,ywhR
AlbC,ywhQ
AlbD,ywhP
AlbE,ywhO
AlbF,ywhN
AlbG,ywhM
Ald,spoVN
AldX,yxaS,yxbE
AldY,yxkE
AlkA
Alr,dal,alrA
AlsD
AlsR
AlsS
AlsT
AmhX
AmiE,ybbE
AmpS
AmyC
AmyD
AmyE,amyA
AmyX
AnsA
AnsB
AnsR
AnsZ,yccC
AntE
AppB
AppC
AppD
AppF
AprE,sprE
AprX
Apt
AraA
AraB
AraD
AraE,yvbR
AraL,yseA
AraM,yseB
AraN,yseC
AraP,yseD
AraQ,yseE
AraR,araC,yvbS
ArfM,ywiD
ArgB
ArgC
ArgD
ArgF
ArgG
ArgH
ArgJ,argA,argE
ArgS
AroA,aroG
AroB
AroC
AroD
AroE
AroF
AroH
AroK,aroI
ArsB,yqcL
ArsC,yqcM
ArsR,yqcJ
ArtM
ArtP,yqiX
ArtQ,yqiY
Asd
AseA,ydfA
AseR,ydeT
Ask
AsnB,asn
AsnH,yxaN
AsnO,yisO,yucB
AsnS
AspB
AspS
AtpA
AtpB
AtpC
AtpD
AtpE
AtpF
AtpG
AtpH
AtpI
AzlB,yrdG
AzlC,yrdH
AzlD,yrdI
AzoR1,yocJ
AzoR2,yvaB
BacA,ywfB,ipa-80d
BacB,ywfC,ipa-81d
BacC,ywfD,ipa-82d
BacD,ywfE,ipa-83d
BacE,ywfF,ipa-84d
BacF,ywfG,ipa-85d
Bcd,bkd,yqiT
BceA,bceA
BceB,ytsD
BceR,ytsA
BceS,ytsB
BcrC,ywoA
BdbA,yolI
BdbB,yolK
BdbC,yvgU
BdbD,yvgV
BdhA,ydjL
BesA,yuiI
BglA
BglC,eglS
BglH
BglP,sytA
BglS,bgl,licS
BhlA,yomB
BhlB,yomA
BioA
BioB
BioD
BioF
BioI
BioW
BirA
BkdAA,bfmBAA,bfmB1a,bkd
BkdAB,bfmBAB,bfmB1b,bkd
BkdB,bfmBB,bfmB2,bkd
BkdR,yqiR
Blt,acfA,bmr2,bmt
BltD,bmr2D,bmtD
BltR,bmr2R,bmtR
BlyA,yomC
Bmr,bmr1
BmrA,yvcC
BmrR
BmrU
BofA
BofC
Bpr,bpf
BpsA,bcsA
BpsB,ypbQ
BraB
BrnQ,yrdJ
BsaA
BsdA,yclA
BsdB,yclB
BsdC,yclC
BsdD
BshA,jojH,ypjH
BshB1,jojG,ypjG
BshB2,yojG
BshC,yllA
Btr,ybbB,yzbC
Buk,yqiU,bkd
CadA,yvgW
Cah
CapA,ywtB,pgsA
CapB,ywsC,pgsB
CapC,ywtA,pgsC
CapE,ywtC,pgsE
CarA,cpa
CarB,cpa
CatD,yfiD
CatE,yfiE
CatR
Cca,papS,ypjI
CccA
CccB
CcdA
CcpA,graR,alsA,amyR
CcpB,yyaG
CcpC,ykuM
CcpN,yqzB
Cdd
CdsA
CgeA,cgeAA
CgeB,cgeAB
CgeC,cgeBA
CgeD,cgeBB
CgeE,cgeBC
CggR,yvbQ
ChaA,yfkE
CheA,cheN
CheB,cheL
CheC,ylxJ
CheD,ylxK
CheR
CheV
CheW
CheY,cheB
CimH,yxkJ
CinA,ymfO,yzlB
CitA,citA1
CitB
CitG
